| end of epoch   1 | time: 110.45s | valid loss  4.94 | valid ppl   140.45
| end of epoch   2 | time: 111.19s | valid loss  4.72 | valid ppl   112.22
| end of epoch   3 | time: 112.58s | valid loss  4.62 | valid ppl   101.52
| end of epoch   4 | time: 113.40s | valid loss  4.56 | valid ppl    95.99
| end of epoch   5 | time: 111.09s | valid loss  4.52 | valid ppl    92.18
| end of epoch   6 | time: 111.33s | valid loss  4.50 | valid ppl    89.92
| end of epoch   7 | time: 111.42s | valid loss  4.48 | valid ppl    88.59
| end of epoch   8 | time: 109.24s | valid loss  4.47 | valid ppl    86.96
| end of epoch   9 | time: 108.46s | valid loss  4.45 | valid ppl    85.80
| end of epoch  10 | time: 110.37s | valid loss  4.44 | valid ppl    84.96
| end of epoch  11 | time: 109.66s | valid loss  4.43 | valid ppl    84.26
| end of epoch  12 | time: 108.79s | valid loss  4.43 | valid ppl    83.61
| end of epoch  13 | time: 109.87s | valid loss  4.42 | valid ppl    83.26
| end of epoch  14 | time: 109.79s | valid loss  4.42 | valid ppl    83.09
| end of epoch  15 | time: 108.97s | valid loss  4.42 | valid ppl    82.81
| end of epoch  16 | time: 111.12s | valid loss  4.42 | valid ppl    82.85
| end of epoch  17 | time: 111.33s | valid loss  4.36 | valid ppl    78.28
| end of epoch  18 | time: 109.49s | valid loss  4.35 | valid ppl    77.75
| end of epoch  19 | time: 109.68s | valid loss  4.35 | valid ppl    77.30
| end of epoch  20 | time: 110.19s | valid loss  4.35 | valid ppl    77.12
| end of epoch  21 | time: 110.01s | valid loss  4.34 | valid ppl    76.88
| end of epoch  22 | time: 109.75s | valid loss  4.34 | valid ppl    76.75
| end of epoch  23 | time: 112.12s | valid loss  4.34 | valid ppl    76.65
| end of epoch  24 | time: 109.77s | valid loss  4.34 | valid ppl    76.46
| end of epoch  25 | time: 108.77s | valid loss  4.34 | valid ppl    76.41
| end of epoch  26 | time: 111.06s | valid loss  4.34 | valid ppl    76.38
| end of epoch  27 | time: 110.76s | valid loss  4.34 | valid ppl    76.56
| end of epoch  28 | time: 109.29s | valid loss  4.32 | valid ppl    75.52
| end of epoch  29 | time: 110.33s | valid loss  4.32 | valid ppl    75.43
| end of epoch  30 | time: 110.16s | valid loss  4.32 | valid ppl    75.35
| end of epoch  31 | time: 109.63s | valid loss  4.32 | valid ppl    75.33
| end of epoch  32 | time: 110.51s | valid loss  4.32 | valid ppl    75.28
| end of epoch  33 | time: 110.32s | valid loss  4.32 | valid ppl    75.24
| end of epoch  34 | time: 110.66s | valid loss  4.32 | valid ppl    75.23
| end of epoch  35 | time: 110.89s | valid loss  4.32 | valid ppl    75.20
| end of epoch  36 | time: 111.34s | valid loss  4.32 | valid ppl    75.20
| end of epoch  37 | time: 110.53s | valid loss  4.32 | valid ppl    75.23
| end of epoch  38 | time: 110.64s | valid loss  4.32 | valid ppl    74.97
| end of epoch  39 | time: 110.79s | valid loss  4.32 | valid ppl    74.96
| end of epoch  40 | time: 110.93s | valid loss  4.32 | valid ppl    74.94
| End of training | test loss  4.23 | test ppl    68.64
