| end of epoch   1 | time: 110.48s | valid loss  4.83 | valid ppl   125.27
| end of epoch   2 | time: 111.71s | valid loss  4.60 | valid ppl    99.86
| end of epoch   3 | time: 112.05s | valid loss  4.51 | valid ppl    90.53
| end of epoch   4 | time: 111.60s | valid loss  4.45 | valid ppl    85.89
| end of epoch   5 | time: 117.58s | valid loss  4.43 | valid ppl    83.80
| end of epoch   6 | time: 116.76s | valid loss  4.42 | valid ppl    82.69
| end of epoch   7 | time: 115.97s | valid loss  4.40 | valid ppl    81.73
| end of epoch   8 | time: 116.67s | valid loss  4.40 | valid ppl    81.58
| end of epoch   9 | time: 114.14s | valid loss  4.40 | valid ppl    81.51
| end of epoch  10 | time: 108.89s | valid loss  4.41 | valid ppl    81.89
| end of epoch  11 | time: 114.76s | valid loss  4.35 | valid ppl    77.48
| end of epoch  12 | time: 117.10s | valid loss  4.35 | valid ppl    77.18
| end of epoch  13 | time: 112.78s | valid loss  4.34 | valid ppl    77.03
| end of epoch  14 | time: 109.32s | valid loss  4.35 | valid ppl    77.21
| end of epoch  15 | time: 110.52s | valid loss  4.33 | valid ppl    76.27
| end of epoch  16 | time: 109.68s | valid loss  4.33 | valid ppl    76.18
| end of epoch  17 | time: 108.91s | valid loss  4.33 | valid ppl    76.18
| end of epoch  18 | time: 113.29s | valid loss  4.33 | valid ppl    76.23
| end of epoch  19 | time: 113.91s | valid loss  4.33 | valid ppl    75.91
| end of epoch  20 | time: 112.20s | valid loss  4.33 | valid ppl    75.89
| end of epoch  21 | time: 113.09s | valid loss  4.33 | valid ppl    75.91
| end of epoch  22 | time: 114.28s | valid loss  4.33 | valid ppl    75.73
| end of epoch  23 | time: 112.94s | valid loss  4.33 | valid ppl    75.68
| end of epoch  24 | time: 113.10s | valid loss  4.33 | valid ppl    75.66
| end of epoch  25 | time: 114.20s | valid loss  4.33 | valid ppl    75.67
| end of epoch  26 | time: 111.98s | valid loss  4.33 | valid ppl    75.63
| end of epoch  27 | time: 111.90s | valid loss  4.33 | valid ppl    75.61
| end of epoch  28 | time: 114.63s | valid loss  4.33 | valid ppl    75.60
| end of epoch  29 | time: 112.40s | valid loss  4.33 | valid ppl    75.60
| end of epoch  30 | time: 112.03s | valid loss  4.33 | valid ppl    75.59
| end of epoch  31 | time: 113.40s | valid loss  4.33 | valid ppl    75.59
| end of epoch  32 | time: 112.17s | valid loss  4.33 | valid ppl    75.59
| end of epoch  33 | time: 112.09s | valid loss  4.33 | valid ppl    75.58
| end of epoch  34 | time: 113.96s | valid loss  4.33 | valid ppl    75.58
| end of epoch  35 | time: 111.49s | valid loss  4.33 | valid ppl    75.58
| end of epoch  36 | time: 110.33s | valid loss  4.33 | valid ppl    75.57
| end of epoch  37 | time: 111.54s | valid loss  4.33 | valid ppl    75.57
| end of epoch  38 | time: 112.84s | valid loss  4.33 | valid ppl    75.57
| end of epoch  39 | time: 111.19s | valid loss  4.33 | valid ppl    75.57
| end of epoch  40 | time: 110.44s | valid loss  4.33 | valid ppl    75.57
| End of training | test loss  4.24 | test ppl    69.10
